cycle;name;location.x;location.y;location.z;name;my_district;indicator;threshold;status_on;should_be_activated;threshold_reached;timer_activated;has_activated_levers;timer_duration;lever_type;lever_name;box_title;progression_bar;lever_help_msg;activation_label_L1;activation_label_L2;player_msg;row_index;col_index;associated_actions;activation_queue;activated_levers
319;Densification_out_Coast_and_Risk_Area_Lever1;37.5;83.36363636363637;0.0;Densification_out_Coast_and_Risk_Area_Lever1;District(3);0;2.0;true;false;false;false;false;120000;WITHDRAWAL;Densi Hab hors ZI&ZL;Densi Hab hors ZI&ZL (0);0 actions \/ 2 max;;;;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;9;1;[];[];[]
319;Expropriation_Lever1;37.5;87.86363636363637;0.0;Expropriation_Lever1;District(3);0;1.0;true;false;false;false;false;120000;WITHDRAWAL;Exproprie;Exproprie (0);0 Expropriation \/ 1 max;;;;Une aide spéciale est versée aux communes engagées dans une stratégie de recul stratégique;9;1;[];[];[]
319;Destroy_Dike_Lever1;37.5;92.45454545454547;0.0;Destroy_Dike_Lever1;District(3);0.0;0.01;true;false;false;false;false;120000;WITHDRAWAL;Demantele Digue;Demantele Digue (0);0 m \/ 0.01 * 2714 m à t0;;;;Une aide spéciale est versée aux communes engagées dans une stratégie de recul stratégique;10;1;[];[];[]
319;Create_Dike_Lever2;62.5;19.727272727272727;0.0;Create_Dike_Lever2;District(5);0.0;0.2;true;false;false;false;false;120000;BUILDER;Construit Digue;Construit Digue (0);0 m \/ 0.2 * 17926 m à t0;;;;Les autorités réorientent leur politique: vos actions vous coutent plus cher que prévu.;2;2;[];[];[]
319;Raise_Dike_Lever2;62.5;24.227272727272734;0.0;Raise_Dike_Lever2;District(5);0.0;0.2;true;false;false;false;false;120000;BUILDER;Rehausse Digue;Rehausse Digue (0);0 m \/ 0.2 * 17926 m à t0;;;;Les autorités réorientent leur politique: vos actions vous coutent plus cher que prévu.;2;2;[];[];[]
319;Repair_Dike_Lever2;62.5;28.81818181818182;0.0;Repair_Dike_Lever2;District(5);0.0;0.2;true;false;false;false;false;120000;BUILDER;Renove Digue;Renove Digue (0);0 m \/ 0.2 * 17926 m à t0;;;;Les coûts dans les BTP augmentent considérablement;3;2;[];[];[]
319;AU_or_Ui_in_Coast_Area_Lever2;62.5;33.31818181818182;0.0;AU_or_Ui_in_Coast_Area_Lever2;District(5);0;2.0;true;false;false;false;false;120000;BUILDER;Const\/Densi non Adapt en ZL;Const\/Densi non Adapt en ZL (0);0 actions \/ 2 max;;;;Un renforcement de la loi Littoral retarde vos projets;3;2;[];[];[]
319;AU_or_Ui_in_Risk_Area_Lever2;62.5;37.909090909090914;0.0;AU_or_Ui_in_Risk_Area_Lever2;District(5);0;1.0;true;false;false;false;false;120000;BUILDER;Const\/Densi en ZI;Const\/Densi en ZI (0);0 actions \/ 1 max;;;;Les coûts dans les BTP augmentent considérablement;4;2;[];[];[]
319;Ganivelle_Lever2;62.5;42.409090909090914;0.0;Ganivelle_Lever2;District(5);0.0;0.1;true;false;false;false;false;120000;SOFT_DEFENSE;Construit Ganivelle;Construit Ganivelle (0);0 m \/ 0.1 * 2160 m dunes;;;;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;4;2;[];[];[]
319;Us_out_Coast_and_Risk_Area_Lever2;62.5;47.00000000000001;0.0;Us_out_Coast_and_Risk_Area_Lever2;District(5);0;2.0;true;false;false;false;false;120000;SOFT_DEFENSE;Const Adap hors ZL&ZI;Const Adap hors ZL&ZI (0);0 actions \/ 2 max;;;;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;5;2;[];[];[]
319;Us_in_Coast_Area_Lever2;62.5;51.50000000000001;0.0;Us_in_Coast_Area_Lever2;District(5);0;2.0;true;false;false;false;false;120000;SOFT_DEFENSE;Const Adap en ZL;Const Adap en ZL (0);0 actions \/ 2 max;;;;Le gouvernement encourage les stratégies de réduction de la vulnérabilité;5;2;[];[];[]
